GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,152,0,4,0,47,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,128,0,4,0,27,0,11,0,9
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,7,123,0,6,3,34,0,11,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,101,0,4,0,29,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,102,0,4,0,29,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,101,0,4,0,29,0,10,0,8
spring-boot-skeleton,exception,UserExistingException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,22,165,0,0,6,43,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.services,UserService,38,174,1,5,9,40,1,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,10,172,0,0,2,46,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.services,BidListService,22,196,0,6,5,53,1,10,1,7
spring-boot-skeleton,com.nnk.springboot.services,TradeService,23,119,0,0,6,31,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.services,RatingService,45,141,0,2,11,39,1,8,1,7
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,37,0,0,0,10,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,Exception,GlobalHandlerException,7,0,0,0,2,0,1,0,1,0
